Дата,Время,Пульс,Источник 
2026.05.29 00:06:00,00:06:00,82,
2026.05.29 00:07:00,00:07:00,75,
2026.05.29 00:08:00,00:08:00,87,
2026.05.29 00:10:00,00:10:00,73,
2026.05.29 00:12:00,00:12:00,77,
2026.05.29 00:19:00,00:19:00,82,
2026.05.29 00:20:00,00:20:00,88,
2026.05.29 00:30:00,00:30:00,93,
2026.05.29 00:32:00,00:32:00,91,
2026.05.29 00:33:00,00:33:00,102,
2026.05.29 00:42:00,00:42:00,83,
2026.05.29 00:43:00,00:43:00,76,
2026.05.29 00:44:00,00:44:00,84,
2026.05.29 00:47:00,00:47:00,67,
2026.05.29 00:57:00,00:57:00,66,
2026.05.29 00:59:00,00:59:00,80,
2026.05.29 01:01:00,01:01:00,81,
2026.05.29 01:02:00,01:02:00,96,
2026.05.29 01:12:00,01:12:00,89,
2026.05.29 01:20:00,01:20:00,81,
2026.05.29 01:22:00,01:22:00,90,
2026.05.29 01:32:00,01:32:00,82,
2026.05.29 01:42:00,01:42:00,82,
2026.05.29 01:48:00,01:48:00,73,
2026.05.29 01:51:00,01:51:00,81,
2026.05.29 01:57:00,01:57:00,79,
2026.05.29 02:01:00,02:01:00,84,
2026.05.29 02:03:00,02:03:00,80,
2026.05.29 02:04:00,02:04:00,84,
2026.05.29 02:07:00,02:07:00,70,
2026.05.29 02:09:00,02:09:00,78,
2026.05.29 02:11:00,02:11:00,87,
2026.05.29 02:12:00,02:12:00,78,
2026.05.29 02:13:00,02:13:00,77,
2026.05.29 02:17:00,02:17:00,80,
2026.05.29 02:18:00,02:18:00,79,
2026.05.29 02:20:00,02:20:00,76,
2026.05.29 02:23:00,02:23:00,79,
2026.05.29 02:31:00,02:31:00,92,
2026.05.29 02:32:00,02:32:00,77,
2026.05.29 02:36:00,02:36:00,84,
2026.05.29 02:39:00,02:39:00,78,
2026.05.29 02:40:00,02:40:00,76,
2026.05.29 02:41:00,02:41:00,71,
2026.05.29 02:42:00,02:42:00,80,
2026.05.29 02:43:00,02:43:00,79,
2026.05.29 02:44:00,02:44:00,76,
2026.05.29 02:45:00,02:45:00,82,
2026.05.29 02:46:00,02:46:00,77,
