Дата,Время,Продолжительность в секундах,Стадия сна
2026.05.29 14:52:00,14:52:00,1680,light
2026.05.29 15:20:00,15:20:00,960,deep
2026.05.29 15:36:00,15:36:00,180,light
2026.05.29 15:39:00,15:39:00,2040,rem
2026.05.29 16:13:00,16:13:00,1440,light
2026.05.29 16:37:00,16:37:00,120,awake
2026.05.29 16:39:00,16:39:00,720,light
2026.05.29 16:51:00,16:51:00,540,rem
2026.05.29 17:00:00,17:00:00,420,light
2026.05.29 17:07:00,17:07:00,720,deep
2026.05.29 17:19:00,17:19:00,660,light
2026.05.29 17:30:00,17:30:00,480,deep
2026.05.29 17:38:00,17:38:00,600,light
2026.05.29 17:48:00,17:48:00,660,rem
2026.05.29 17:59:00,17:59:00,540,deep
2026.05.29 18:08:00,18:08:00,720,light
2026.05.29 18:20:00,18:20:00,1380,deep
2026.05.29 18:43:00,18:43:00,360,light
2026.05.29 18:49:00,18:49:00,720,deep
2026.05.29 19:01:00,19:01:00,720,rem
2026.05.29 19:13:00,19:13:00,1980,light
2026.05.29 19:46:00,19:46:00,120,awake
2026.05.29 19:48:00,19:48:00,900,light
